# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650151624e-02       2.370455022415e+04 
       1.371613595966e-02       2.374340879386e+04 
       1.384580678886e-02       2.378021687907e+04 
       1.397551412490e-02       2.381498119224e+04 
       1.410525811179e-02       2.384773109009e+04 
       1.423503891617e-02       2.387848702526e+04 
       1.436485672695e-02       2.390728971177e+04 
       1.449471175507e-02       2.393414263934e+04 
       1.462460423315e-02       2.395910427929e+04 
       1.475453441537e-02       2.398216673281e+04 
       1.488450257717e-02       2.400337593387e+04 
       1.501450901516e-02       2.402273848919e+04 
       1.514455404692e-02       2.404029827220e+04 
       1.527463801090e-02       2.405606893875e+04 
       1.540476126634e-02       2.407006759611e+04 
       1.553492419317e-02       2.408233462136e+04 
       1.566512719198e-02       2.409288676385e+04 
       1.579537068400e-02       2.410172670353e+04 
       1.592565511107e-02       2.410891152336e+04 
       1.605598093571e-02       2.411442812209e+04 
       1.618634864107e-02       2.411833365023e+04 
       1.631675873110e-02       2.412063142077e+04 
       1.644721173052e-02       2.412134832141e+04 
       1.657770818498e-02       2.412049239713e+04 
       1.670824866116e-02       2.411811532112e+04 
       1.683883374690e-02       2.411422602265e+04 
       1.696946405134e-02       2.410882311308e+04 
       1.710014020509e-02       2.410195825294e+04 
       1.723086286044e-02       2.409363301928e+04 
       1.736163269154e-02       2.408388137015e+04 
       1.749245039461e-02       2.407271945355e+04 
       1.762331668819e-02       2.406017023149e+04 
       1.775423231341e-02       2.404624436984e+04 
       1.788519803423e-02       2.403097082822e+04 
       1.801621463772e-02       2.401436903593e+04 
       1.814728293441e-02       2.399644862008e+04 
       1.827840375857e-02       2.397725955824e+04 
       1.840957796854e-02       2.395677276372e+04 
       1.854080644711e-02       2.393505502407e+04 
       1.867209010189e-02       2.391208622205e+04 
       1.880342986566e-02       2.388791571985e+04 
       1.893482669681e-02       2.386255421270e+04 
       1.906628157976e-02       2.383601145280e+04 
       1.919779552537e-02       2.380834613327e+04 
       1.932936957143e-02       2.377950357719e+04 
       1.946100478311e-02       2.374952081866e+04 
       1.959270225345e-02       2.371847616217e+04 
       1.972446310390e-02       2.368633794613e+04 
       1.985628848481e-02       2.365313792393e+04 
       1.998817957601e-02       2.361887998381e+04 
       2.012013758737e-02       2.358361140841e+04 
       2.025216375937e-02       2.354733473949e+04 
       2.038425936372e-02       2.351003530726e+04 
       2.051642570400e-02       2.347177515903e+04 
       2.064866411630e-02       2.343254405105e+04 
       2.078097596986e-02       2.339236857078e+04 
       2.091336266783e-02       2.335130983565e+04 
       2.104582564791e-02       2.330928848344e+04 
       2.117836638316e-02       2.326639796446e+04 
       2.131098638270e-02       2.322262448753e+04 
