# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       5.967020750666e-04      -7.341959423092e-01      -3.180958607333e+00      -3.181133549667e+00      -6.971483453190e-01      -3.160931117266e+00      -3.180394131033e+00       4.710250400641e-01       4.710293497102e-01 
       6.378556051298e-04      -6.614396546950e-01      -3.633038541115e+00      -3.633258050094e+00      -6.229702303337e-01      -3.607097891472e+00      -3.632352208388e+00       4.707700693796e-01       4.707774375977e-01 
       6.819580339238e-04      -5.866089007559e-01      -4.150460924714e+00      -4.150735147031e+00      -5.483543489776e-01      -4.116839279183e+00      -4.149636445990e+00       4.704881743527e-01       4.704972424403e-01 
       7.292055232308e-04      -5.189113510190e-01      -4.742501386453e+00      -4.742842257688e+00      -4.829247010196e-01      -4.698907214783e+00      -4.741521655752e+00       4.701768361213e-01       4.701862585139e-01 
       7.797820365538e-04      -4.677723125979e-01      -5.419367062804e+00      -5.419788364387e+00      -4.363331340493e-01      -5.362841312944e+00      -5.418213368830e+00       4.698333086714e-01       4.698419038016e-01 
       8.338525778120e-04      -4.402255027906e-01      -6.192136594755e+00      -6.192653930723e+00      -4.154939111490e-01      -6.118877625444e+00      -6.190786968014e+00       4.694546973992e-01       4.694616089191e-01 
       8.915562822269e-04      -4.377560648072e-01      -7.072648172580e+00      -7.073278834524e+00      -4.212967861768e-01      -6.977802964450e+00      -7.071074707615e+00       4.690379414582e-01       4.690427706238e-01 
       9.529999320418e-04      -4.537926974773e-01      -8.073336351303e+00      -8.074098998132e+00      -4.460681557046e-01      -7.950757221095e+00      -8.071501624171e+00       4.685799529975e-01       4.685828125558e-01 
       1.018252535567e-03      -4.736300747950e-01      -9.207019877724e+00      -9.207934165280e+00      -4.736440093252e-01      -9.048988600225e+00      -9.204873222309e+00       4.680777627473e-01       4.680792094050e-01 
       1.087341575589e-03      -4.783998008313e-01      -1.048665311923e+01      -1.048773916542e+01      -4.836990430712e-01      -1.028357714203e+01      -1.048412773752e+01       4.675287730895e-01       4.675296073618e-01 
       1.160251388524e-03      -4.531019685472e-01      -1.192505596627e+01      -1.192633389471e+01      -4.602684800343e-01      -1.166514505587e+01      -1.192206815697e+01       4.669309770993e-01       4.669319546045e-01 
       1.236923894747e-03      -3.957790505219e-01      -1.353464238576e+01      -1.353613195881e+01      -4.013220461178e-01      -1.320357690225e+01      -1.353109323243e+01       4.662830872441e-01       4.662846427428e-01 
       1.317261608829e-03      -3.221712217551e-01      -1.532717212479e+01      -1.532889263430e+01      -3.234782680880e-01      -1.490777664632e+01      -1.532295066932e+01       4.655846457684e-01       4.655867540203e-01 
       1.401132579080e-03      -2.603337305219e-01      -1.731349150515e+01      -1.731546220271e+01      -2.562227099028e-01      -1.678543377000e+01      -1.730847715848e+01       4.648346201600e-01       4.648368746650e-01 
