# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650151624e-02       2.362048052733e+04 
       1.371613595966e-02       2.365861987949e+04 
       1.384580678886e-02       2.369471934331e+04 
       1.397551412490e-02       2.372878558095e+04 
       1.410525811179e-02       2.376084780042e+04 
       1.423503891617e-02       2.379092634903e+04 
       1.436485672695e-02       2.381906174370e+04 
       1.449471175507e-02       2.384525739850e+04 
       1.462460423315e-02       2.386957152869e+04 
       1.475453441537e-02       2.389199622034e+04 
       1.488450257717e-02       2.391257718925e+04 
       1.501450901516e-02       2.393132097391e+04 
       1.514455404692e-02       2.394827124683e+04 
       1.527463801090e-02       2.396344157931e+04 
       1.540476126634e-02       2.397684897505e+04 
       1.553492419317e-02       2.398853363906e+04 
       1.566512719198e-02       2.399851222486e+04 
       1.579537068400e-02       2.400678738708e+04 
       1.592565511107e-02       2.401341596264e+04 
       1.605598093571e-02       2.401838488776e+04 
       1.618634864107e-02       2.402175106676e+04 
       1.631675873110e-02       2.402351779112e+04 
       1.644721173052e-02       2.402371182513e+04 
       1.657770818498e-02       2.402234117442e+04 
       1.670824866116e-02       2.401945732470e+04 
       1.683883374690e-02       2.401506912460e+04 
       1.696946405134e-02       2.400917523407e+04 
       1.710014020509e-02       2.400182711946e+04 
       1.723086286044e-02       2.399302636747e+04 
       1.736163269154e-02       2.398280686192e+04 
       1.749245039461e-02       2.397118468896e+04 
       1.762331668819e-02       2.395818283366e+04 
       1.775423231341e-02       2.394381197526e+04 
       1.788519803423e-02       2.392810105633e+04 
       1.801621463772e-02       2.391106953021e+04 
       1.814728293441e-02       2.389272716510e+04 
       1.827840375857e-02       2.387312387232e+04 
       1.840957796854e-02       2.385223083312e+04 
       1.854080644711e-02       2.383011472794e+04 
       1.867209010189e-02       2.380675585983e+04 
       1.880342986566e-02       2.378220345531e+04 
       1.893482669681e-02       2.375646853629e+04 
       1.906628157976e-02       2.372956096346e+04 
       1.919779552537e-02       2.370153946986e+04 
       1.932936957143e-02       2.367234996731e+04 
       1.946100478311e-02       2.364202953817e+04 
       1.959270225345e-02       2.361065632287e+04 
       1.972446310390e-02       2.357819928465e+04 
       1.985628848481e-02       2.354469011180e+04 
       1.998817957601e-02       2.351013302562e+04 
       2.012013758737e-02       2.347457526783e+04 
       2.025216375937e-02       2.343801965876e+04 
       2.038425936372e-02       2.340045179131e+04 
       2.051642570400e-02       2.336193356607e+04 
       2.064866411630e-02       2.332245497207e+04 
       2.078097596986e-02       2.328204260649e+04 
       2.091336266783e-02       2.324075738466e+04 
       2.104582564791e-02       2.319852044051e+04 
       2.117836638316e-02       2.315542477980e+04 
       2.131098638270e-02       2.311145669733e+04 
       2.144368719255e-02       2.306665735300e+04 
       2.157647039638e-02       2.302102333278e+04 
       2.170933761642e-02       2.297454152837e+04 
       2.184229051427e-02       2.292728627231e+04 
       2.197533079181e-02       2.287923681493e+04 
       2.210846019211e-02       2.283038002083e+04 
       2.224168050040e-02       2.278082534770e+04 
       2.237499354502e-02       2.273053399735e+04 
       2.250840119845e-02       2.267952361174e+04 
       2.264190537832e-02       2.262778988897e+04 
       2.277550804852e-02       2.257534800247e+04 
       2.290921122029e-02       2.252221850530e+04 
       2.304301695333e-02       2.246845875136e+04 
       2.317692735703e-02       2.241404528078e+04 
       2.331094459164e-02       2.235896703126e+04 
       2.344507086955e-02       2.230327495620e+04 
       2.357930845653e-02       2.224696992612e+04 
       2.371365967314e-02       2.219007936509e+04 
       2.384812689602e-02       2.213261593920e+04 
       2.398271255938e-02       2.207456183369e+04 
       2.411741915640e-02       2.201595678724e+04 
       2.425224924079e-02       2.195682962769e+04 
       2.438720542828e-02       2.189711798078e+04 
       2.452229039832e-02       2.183697230186e+04 
       2.465750689565e-02       2.177626371574e+04 
       2.479285773207e-02       2.171509331965e+04 
       2.492834578818e-02       2.165339847129e+04 
       2.506397401522e-02       2.159131038215e+04 
       2.519974543695e-02       2.152872643147e+04 
       2.533566315159e-02       2.146570895749e+04 
       2.547173033387e-02       2.140226937328e+04 
       2.560795023707e-02       2.133839460972e+04 
       2.574432619519e-02       2.127412674024e+04 
       2.588086162518e-02       2.120944067138e+04 
       2.601756002923e-02       2.114445369054e+04 
       2.615442499713e-02       2.107900127317e+04 
       2.629146020879e-02       2.101319811079e+04 
       2.642866943672e-02       2.094707748466e+04 
       2.656605654870e-02       2.088062477850e+04 
       2.670362551049e-02       2.081381737751e+04 
       2.684138038867e-02       2.074667322508e+04 
       2.697932535355e-02       2.067926628221e+04 
       2.711746468219e-02       2.061152535819e+04 
       2.725580276157e-02       2.054353014449e+04 
       2.739434409178e-02       2.047521913451e+04 
       2.753309328947e-02       2.040669663328e+04 
       2.767205509125e-02       2.033788633566e+04 
       2.781123435739e-02       2.026883486704e+04 
       2.795063607554e-02       2.019952269471e+04 
       2.809026536461e-02       2.013003919708e+04 
       2.823012747885e-02       2.006025821617e+04 
       2.837022781202e-02       1.999030215207e+04 
       2.851057190178e-02       1.992014371725e+04 
       2.865116543417e-02       1.984979606874e+04 
       2.879201424837e-02       1.977928708958e+04 
       2.893312434153e-02       1.970858195742e+04 
       2.907450187390e-02       1.963767328545e+04 
       2.921615317408e-02       1.956659237161e+04 
       2.935808474454e-02       1.949545919037e+04 
       2.950030326732e-02       1.942411389052e+04 
       2.964281560997e-02       1.935260168731e+04 
       2.978562883180e-02       1.928099517520e+04 
       2.992875019027e-02       1.920927020214e+04 
       3.007218714776e-02       1.913738497584e+04 
       3.021594737853e-02       1.906547682533e+04 
       3.036003877608e-02       1.899341213151e+04 
       3.050446946072e-02       1.892127286945e+04 
       3.064924778755e-02       1.884902122309e+04 
       3.079438235475e-02       1.877671781826e+04 
       3.093988201220e-02       1.870432619124e+04 
       3.108575587060e-02       1.863182294141e+04 
       3.123201331084e-02       1.855931308011e+04 
       3.137866399394e-02       1.848672041358e+04 
       3.152571787135e-02       1.841408882072e+04 
       3.167318519573e-02       1.834135229693e+04 
       3.182107653231e-02       1.826867654219e+04 
       3.196940277070e-02       1.819588433856e+04 
       3.211817513728e-02       1.812308364884e+04 
       3.226740520818e-02       1.805028324088e+04 
       3.241710492293e-02       1.797747413512e+04 
       3.256728659872e-02       1.790462441646e+04 
       3.271796294540e-02       1.783176127049e+04 
       3.286914708117e-02       1.775885084154e+04 
       3.302085254913e-02       1.768602240519e+04 
       3.317309333465e-02       1.761310424543e+04 
       3.332588388357e-02       1.754028267734e+04 
       3.347923912141e-02       1.746741262169e+04 
       3.363317447357e-02       1.739452229550e+04 
       3.378770588659e-02       1.732175149680e+04 
       3.394284985052e-02       1.724898062287e+04 
       3.409862342252e-02       1.717619443184e+04 
       3.425504425180e-02       1.710341405717e+04 
       3.441213060581e-02       1.703068757510e+04 
       3.456990139801e-02       1.695797284044e+04 
       3.472837621714e-02       1.688533831990e+04 
       3.488757535817e-02       1.681273654506e+04 
       3.504751985505e-02       1.674015592643e+04 
       3.520823151535e-02       1.666756602998e+04 
       3.536973295693e-02       1.659512485626e+04 
       3.553204764684e-02       1.652264211486e+04 
       3.569519994254e-02       1.645021023814e+04 
       3.585921513562e-02       1.637787846309e+04 
       3.602411949826e-02       1.630556719269e+04 
       3.618994033256e-02       1.623331196200e+04 
       3.635670602303e-02       1.616108109978e+04 
       3.652444609240e-02       1.608895949199e+04 
       3.669319126108e-02       1.601683030166e+04 
       3.686297351055e-02       1.594475743764e+04 
       3.703382615091e-02       1.587277679548e+04 
       3.720578389307e-02       1.580082698860e+04 
       3.737888292577e-02       1.572890980574e+04 
       3.755316099803e-02       1.565706218359e+04 
       3.772865750734e-02       1.558528927667e+04 
       3.790541359411e-02       1.551355211581e+04 
       3.808347224299e-02       1.544188589843e+04 
       3.826287839155e-02       1.537017269432e+04 
       3.844367904702e-02       1.529858329180e+04 
       3.862592341189e-02       1.522702045985e+04 
       3.880966301898e-02       1.515550532831e+04 
       3.899495187709e-02       1.508405883537e+04 
       3.918184662806e-02       1.501260479279e+04 
       3.937040671635e-02       1.494120416525e+04 
       3.956069457237e-02       1.486983216089e+04 
       3.975277581098e-02       1.479847932567e+04 
       3.994671944652e-02       1.472714104887e+04 
       4.014259812609e-02       1.465583939905e+04 
       4.034048838312e-02       1.458454700018e+04 
       4.054047091305e-02       1.451329400368e+04 
       4.074263087374e-02       1.444199555259e+04 
       4.094705821308e-02       1.437070435705e+04 
       4.115384802697e-02       1.429944962770e+04 
       4.136310095088e-02       1.422815553760e+04 
       4.157492358892e-02       1.415683799436e+04 
       4.178942898471e-02       1.408548189101e+04 
       4.200673713904e-02       1.401412178020e+04 
       4.222697557981e-02       1.394265511234e+04 
       4.245027999076e-02       1.387119191163e+04 
       4.267679490628e-02       1.379965538494e+04 
       4.290667448056e-02       1.372801958596e+04 
       4.314008334098e-02       1.365633392156e+04 
       4.337719753656e-02       1.358457812604e+04 
       4.361820559446e-02       1.351264749384e+04 
       4.386330969936e-02       1.344063070955e+04 
       4.411272701295e-02       1.336845157089e+04 
       4.436669115362e-02       1.329615594562e+04 
       4.462545385987e-02       1.322367567098e+04 
       4.488928686495e-02       1.315103450359e+04 
       4.515848401508e-02       1.307814145975e+04 
       4.543336366941e-02       1.300505738287e+04 
       4.571427142697e-02       1.293169446624e+04 
       4.600158323424e-02       1.285805372648e+04 
       4.629570893738e-02       1.278417443572e+04 
       4.659709635565e-02       1.270994104429e+04 
