# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650151624e-02       2.382998040610e+04 
       1.371613595966e-02       2.387035374247e+04 
       1.384580678886e-02       2.390867223594e+04 
       1.397551412490e-02       2.394494205627e+04 
       1.410525811179e-02       2.397919214260e+04 
       1.423503891617e-02       2.401144249655e+04 
       1.436485672695e-02       2.404173349810e+04 
       1.449471175507e-02       2.407006806590e+04 
       1.462460423315e-02       2.409650447768e+04 
       1.475453441537e-02       2.412103422592e+04 
       1.488450257717e-02       2.414370298435e+04 
       1.501450901516e-02       2.416451685790e+04 
       1.514455404692e-02       2.418351947843e+04 
       1.527463801090e-02       2.420072407359e+04 
       1.540476126634e-02       2.421614734528e+04 
       1.553492419317e-02       2.422982945323e+04 
       1.566512719198e-02       2.424178676451e+04 
       1.579537068400e-02       2.425202150023e+04 
       1.592565511107e-02       2.426059066359e+04 
       1.605598093571e-02       2.426748059946e+04 
       1.618634864107e-02       2.427274840182e+04 
       1.631675873110e-02       2.427639696602e+04 
       1.644721173052e-02       2.427845292940e+04 
       1.657770818498e-02       2.427892396504e+04 
       1.670824866116e-02       2.427786173286e+04 
       1.683883374690e-02       2.427527477690e+04 
       1.696946405134e-02       2.427116133630e+04 
       1.710014020509e-02       2.426557308213e+04 
       1.723086286044e-02       2.425851122915e+04 
       1.736163269154e-02       2.425000967862e+04 
       1.749245039461e-02       2.424008433099e+04 
       1.762331668819e-02       2.422875807595e+04 
       1.775423231341e-02       2.421604135470e+04 
       1.788519803423e-02       2.420196310209e+04 
       1.801621463772e-02       2.418654265610e+04 
       1.814728293441e-02       2.416978955529e+04 
       1.827840375857e-02       2.415175399293e+04 
       1.840957796854e-02       2.413240644762e+04 
       1.854080644711e-02       2.411181411214e+04 
       1.867209010189e-02       2.408995671048e+04 
       1.880342986566e-02       2.406688377973e+04 
       1.893482669681e-02       2.404260617009e+04 
       1.906628157976e-02       2.401713355956e+04 
       1.919779552537e-02       2.399052515088e+04 
       1.932936957143e-02       2.396272583977e+04 
       1.946100478311e-02       2.393377289963e+04 
       1.959270225345e-02       2.390374523124e+04 
       1.972446310390e-02       2.387261109884e+04 
       1.985628848481e-02       2.384040234127e+04 
       1.998817957601e-02       2.380712296289e+04 
       2.012013758737e-02       2.377282058797e+04 
       2.025216375937e-02       2.373749781554e+04 
       2.038425936372e-02       2.370113977624e+04 
       2.051642570400e-02       2.366380898387e+04 
       2.064866411630e-02       2.362549503866e+04 
       2.078097596986e-02       2.358622467052e+04 
       2.091336266783e-02       2.354605943220e+04 
       2.104582564791e-02       2.350491908879e+04 
       2.117836638316e-02       2.346289775868e+04 
       2.131098638270e-02       2.341998131537e+04 
       2.144368719255e-02       2.337621130359e+04 
       2.157647039638e-02       2.333158404653e+04 
       2.170933761642e-02       2.328608602728e+04 
       2.184229051427e-02       2.323979248067e+04 
       2.197533079181e-02       2.319268214744e+04 
       2.210846019211e-02       2.314474149146e+04 
       2.224168050040e-02       2.309608144178e+04 
       2.237499354502e-02       2.304666242830e+04 
       2.250840119845e-02       2.299650218150e+04 
       2.264190537832e-02       2.294559615291e+04 
       2.277550804852e-02       2.289395957311e+04 
       2.290921122029e-02       2.284161314272e+04 
       2.304301695333e-02       2.278861495353e+04 
       2.317692735703e-02       2.273494101722e+04 
       2.331094459164e-02       2.268057993355e+04 
       2.344507086955e-02       2.262558331289e+04 
       2.357930845653e-02       2.256995189019e+04 
       2.371365967314e-02       2.251371338679e+04 
       2.384812689602e-02       2.245688053443e+04 
       2.398271255938e-02       2.239943508721e+04 
       2.411741915640e-02       2.234141729875e+04 
       2.425224924079e-02       2.228285634464e+04 
       2.438720542828e-02       2.222368868390e+04 
       2.452229039832e-02       2.216406716074e+04 
       2.465750689565e-02       2.210386062232e+04 
       2.479285773207e-02       2.204317174916e+04 
       2.492834578818e-02       2.198193672245e+04 
       2.506397401522e-02       2.192028888233e+04 
       2.519974543695e-02       2.185812374938e+04 
       2.533566315159e-02       2.179550462742e+04 
       2.547173033387e-02       2.173244302984e+04 
       2.560795023707e-02       2.166892556317e+04 
       2.574432619519e-02       2.160499494289e+04 
       2.588086162518e-02       2.154062554417e+04 
       2.601756002923e-02       2.147593664636e+04 
       2.615442499713e-02       2.141076072190e+04 
       2.629146020879e-02       2.134521441619e+04 
       2.642866943672e-02       2.127933153575e+04 
       2.656605654870e-02       2.121309713269e+04 
       2.670362551049e-02       2.114648810972e+04 
       2.684138038867e-02       2.107952266274e+04 
       2.697932535355e-02       2.101227604283e+04 
       2.711746468219e-02       2.094467569114e+04 
       2.725580276157e-02       2.087680270983e+04 
       2.739434409178e-02       2.080859439477e+04 
       2.753309328947e-02       2.074015694278e+04 
       2.767205509125e-02       2.067141257282e+04 
       2.781123435739e-02       2.060240873574e+04 
       2.795063607554e-02       2.053312548196e+04 
       2.809026536461e-02       2.046365384858e+04 
       2.823012747885e-02       2.039386522771e+04 
       2.837022781202e-02       2.032388432166e+04 
       2.851057190178e-02       2.025368328660e+04 
       2.865116543417e-02       2.018327550133e+04 
       2.879201424837e-02       2.011268936361e+04 
       2.893312434153e-02       2.004188934303e+04 
       2.907450187390e-02       1.997086787405e+04 
       2.921615317408e-02       1.989965684076e+04 
       2.935808474454e-02       1.982837858253e+04 
       2.950030326732e-02       1.975687005371e+04 
       2.964281560997e-02       1.968517734170e+04 
       2.978562883180e-02       1.961337448256e+04 
       2.992875019027e-02       1.954143682880e+04 
       3.007218714776e-02       1.946932172421e+04 
       3.021594737853e-02       1.939716928646e+04 
       3.036003877608e-02       1.932484316226e+04 
       3.050446946072e-02       1.925242699769e+04 
       3.064924778755e-02       1.917988219181e+04 
       3.079438235475e-02       1.910727062341e+04 
       3.093988201220e-02       1.903455507140e+04 
       3.108575587060e-02       1.896171163896e+04 
       3.123201331084e-02       1.888884754436e+04 
       3.137866399394e-02       1.881588499590e+04 
       3.152571787135e-02       1.874286880422e+04 
       3.167318519573e-02       1.866973156154e+04 
       3.182107653231e-02       1.859664251901e+04 
       3.196940277070e-02       1.852342067065e+04 
       3.211817513728e-02       1.845017630631e+04 
       3.226740520818e-02       1.837691840169e+04 
       3.241710492293e-02       1.830363780027e+04 
       3.256728659872e-02       1.823030190289e+04 
       3.271796294540e-02       1.815693850211e+04 
       3.286914708117e-02       1.808351300757e+04 
       3.302085254913e-02       1.801015757489e+04 
       3.317309333465e-02       1.793669669487e+04 
       3.332588388357e-02       1.786332085390e+04 
       3.347923912141e-02       1.778988175071e+04 
       3.363317447357e-02       1.771640824450e+04 
       3.378770588659e-02       1.764304332044e+04 
       3.394284985052e-02       1.756966469934e+04 
       3.409862342252e-02       1.749625680729e+04 
       3.425504425180e-02       1.742284127627e+04 
       3.441213060581e-02       1.734946731128e+04 
       3.456990139801e-02       1.727609182140e+04 
       3.472837621714e-02       1.720278488759e+04 
       3.488757535817e-02       1.712949797014e+04 
       3.504751985505e-02       1.705621923222e+04 
       3.520823151535e-02       1.698291754304e+04 
       3.536973295693e-02       1.690975465770e+04 
       3.553204764684e-02       1.683653581756e+04 
       3.569519994254e-02       1.676335566432e+04 
       3.585921513562e-02       1.669026464453e+04 
       3.602411949826e-02       1.661718128682e+04 
       3.618994033256e-02       1.654414200440e+04 
       3.635670602303e-02       1.647111438563e+04 
       3.652444609240e-02       1.639818540575e+04 
       3.669319126108e-02       1.632523541028e+04 
       3.686297351055e-02       1.625232988792e+04 
       3.703382615091e-02       1.617950564786e+04 
       3.720578389307e-02       1.610669981853e+04 
       3.737888292577e-02       1.603391425121e+04 
       3.755316099803e-02       1.596118682429e+04 
       3.772865750734e-02       1.588852285052e+04 
       3.790541359411e-02       1.581588240758e+04 
       3.808347224299e-02       1.574330160108e+04 
       3.826287839155e-02       1.567065952815e+04 
       3.844367904702e-02       1.559813132805e+04 
       3.862592341189e-02       1.552561731799e+04 
       3.880966301898e-02       1.545313918214e+04 
       3.899495187709e-02       1.538071841624e+04 
       3.918184662806e-02       1.530827687418e+04 
       3.937040671635e-02       1.523587710656e+04 
       3.956069457237e-02       1.516349368598e+04 
       3.975277581098e-02       1.509111691400e+04 
       3.994671944652e-02       1.501874205765e+04 
       4.014259812609e-02       1.494639176765e+04 
       4.034048838312e-02       1.487403794020e+04 
       4.054047091305e-02       1.480171152474e+04 
       4.074263087374e-02       1.472932538122e+04 
       4.094705821308e-02       1.465693361039e+04 
       4.115384802697e-02       1.458456619811e+04 
       4.136310095088e-02       1.451214524151e+04 
       4.157492358892e-02       1.443968704362e+04 
       4.178942898471e-02       1.436717604430e+04 
       4.200673713904e-02       1.429464770322e+04 
       4.222697557981e-02       1.422199658710e+04 
       4.245027999076e-02       1.414933570450e+04 
       4.267679490628e-02       1.407658606673e+04 
       4.290667448056e-02       1.400372091712e+04 
       4.314008334098e-02       1.393079096115e+04 
       4.337719753656e-02       1.385777527241e+04 
       4.361820559446e-02       1.378456605774e+04 
       4.386330969936e-02       1.371125439028e+04 
       4.411272701295e-02       1.363776174630e+04 
       4.436669115362e-02       1.356413515010e+04 
       4.462545385987e-02       1.349030429268e+04 
       4.488928686495e-02       1.341629341609e+04 
       4.515848401508e-02       1.334200865004e+04 
       4.543336366941e-02       1.326751235798e+04 
       4.571427142697e-02       1.319271385860e+04 
       4.600158323424e-02       1.311761386252e+04 
       4.629570893738e-02       1.304225245209e+04 
       4.659709635565e-02       1.296651021572e+04 
       4.690623596818e-02       1.289038728933e+04 
       4.722366632486e-02       1.281383043246e+04 
       4.754998031602e-02       1.273688087439e+04 
       4.788583246426e-02       1.265935055369e+04 
       4.823194743802e-02       1.258131814491e+04 
       4.858913003206e-02       1.250267094226e+04 
       4.895827691635e-02       1.242342777269e+04 
       4.934039052690e-02       1.234341191420e+04 
       4.973659556256e-02       1.226265035335e+04 
       5.014815866658e-02       1.218099621016e+04 
       5.057651201847e-02       1.209836094067e+04 
       5.102328174780e-02       1.201471730912e+04 
       5.149032231931e-02       1.192988627320e+04 
       5.197975834148e-02       1.184366995014e+04 
       5.249403563324e-02       1.175604434769e+04 
       5.303598386421e-02       1.166671078265e+04 
       5.360889367580e-02       1.157547916974e+04 
       5.421661189762e-02       1.148208457939e+04 
       5.486365927195e-02       1.138613653367e+04 
       5.555537589743e-02       1.128729187571e+04 
       5.629810017546e-02       1.118496879753e+04 
       5.709938688124e-02       1.107848332310e+04 
       5.796826803727e-02       1.096706971746e+04 
       5.891555447941e-02       1.084955438758e+04 
       5.995416254475e-02       1.072442403355e+04 
       6.109942257045e-02       1.058972602301e+04 
       6.236927384520e-02       1.044285589176e+04 
       6.378416297505e-02       1.028028744618e+04 
       6.536633806560e-02       1.009738794345e+04 
       6.713811106309e-02       9.888377501989e+03 
       6.911868813501e-02       9.646488876213e+03 
       7.131961804625e-02       9.364757987122e+03 
       7.373998924807e-02       9.037807034001e+03 
       7.636375409540e-02       8.664111927686e+03 
       7.916148847583e-02       8.248104571299e+03 
       8.209649482124e-02       7.800728158644e+03 
       8.513222505943e-02       7.337978219716e+03 
       8.823761364771e-02       6.878017917761e+03 
       9.138909092609e-02       6.438238216381e+03 
       9.457013428566e-02       6.032879610174e+03 
       9.776975946816e-02       5.671790517385e+03 
       1.009809112735e-01       5.360016277252e+03 
       1.041991559203e-01       5.098104532911e+03 
       1.074217446051e-01       4.883042046218e+03 
       1.106469872850e-01       4.708534587897e+03 
       1.138738500777e-01       4.566519535525e+03 
       1.171017023624e-01       4.447774350394e+03 
       1.203301601051e-01       4.342787671861e+03 
       1.235589895985e-01       4.242621465425e+03 
       1.267880486173e-01       4.139693652108e+03 
       1.300172505535e-01       4.028350827471e+03 
       1.332465425965e-01       3.905308814443e+03 
       1.364758924728e-01       3.769719261282e+03 
       1.397052803911e-01       3.622985891301e+03 
       1.429346941519e-01       3.468299191727e+03 
       1.461641261778e-01       3.310005738150e+03 
       1.493935717096e-01       3.152939729587e+03 
       1.526230277113e-01       3.001786776396e+03 
       1.558524922040e-01       2.860566599336e+03 
       1.590819638607e-01       2.732312932281e+03 
       1.623114417597e-01       2.618843641453e+03 
       1.655409252339e-01       2.520765318885e+03 
       1.687704137789e-01       2.437543565661e+03 
       1.719999069959e-01       2.367682906946e+03 
       1.752294045570e-01       2.308948842628e+03 
       1.784589061834e-01       2.258639480239e+03 
       1.816884116315e-01       2.213847408861e+03 
       1.849179206843e-01       2.172048148140e+03 
       1.881474331454e-01       2.130642735859e+03 
       1.913769488351e-01       2.087176535441e+03 
       1.946064675881e-01       2.040175185028e+03 
       1.978359892510e-01       1.988920706693e+03 
       2.010655136812e-01       1.933459450969e+03 
       2.042950407457e-01       1.874524835762e+03 
       2.075245703202e-01       1.813327069315e+03 
       2.107541022880e-01       1.751353732585e+03 
       2.139836365398e-01       1.690146549948e+03 
       2.172131729729e-01       1.631121336783e+03 
       2.204427114907e-01       1.575431470739e+03 
       2.236722520021e-01       1.523949552956e+03 
       2.269017944215e-01       1.477197370382e+03 
       2.301313386679e-01       1.435359653194e+03 
       2.333608846649e-01       1.398322013366e+03 
       2.365904323404e-01       1.365669240107e+03 
       2.398199816261e-01       1.336745694701e+03 
       2.430495324574e-01       1.310723782172e+03 
       2.462790847730e-01       1.286683504754e+03 
       2.495086385151e-01       1.263717648752e+03 
       2.527381936285e-01       1.241012719236e+03 
       2.559677500610e-01       1.217917675204e+03 
       2.591973077630e-01       1.193985672629e+03 
       2.624268666873e-01       1.168978594157e+03 
       2.656564267891e-01       1.142861437184e+03 
       2.688859880258e-01       1.115783190936e+03 
       2.721155503566e-01       1.088037466920e+03 
       2.753451137429e-01       1.060026617918e+03 
       2.785746781477e-01       1.032216382112e+03 
       2.818042435358e-01       1.005082681993e+03 
       2.850338098737e-01       9.790511970815e+02 
       2.882633771291e-01       9.544656828487e+02 
       2.914929452714e-01       9.315394718651e+02 
       2.947225142714e-01       9.103586081463e+02 
       2.979520841010e-01       8.908782652608e+02 
       3.011816547333e-01       8.729732149479e+02 
       3.044112261426e-01       8.564209283243e+02 
       3.076407983045e-01       8.409723668000e+02 
       3.108703711952e-01       8.263556693655e+02 
       3.140999447922e-01       8.122952987454e+02 
       3.173295190739e-01       7.985330040247e+02 
       3.205590940194e-01       7.848501684640e+02 
       3.237886696087e-01       7.710729955100e+02 
       3.270182458228e-01       7.570992492359e+02 
       3.302478226431e-01       7.428944336119e+02 
       3.334774000520e-01       7.284923391488e+02 
       3.367069780324e-01       7.139801925792e+02 
       3.399365565681e-01       6.994798683823e+02 
       3.431661356432e-01       6.851264663575e+02 
       3.463957152426e-01       6.710506323821e+02 
       3.496252953517e-01       6.573718066980e+02 
       3.528548759564e-01       6.441927831965e+02 
       3.560844570432e-01       6.315869183825e+02 
       3.593140385990e-01       6.196011198009e+02 
       3.625436206113e-01       6.082497064387e+02 
       3.657732030678e-01       5.975102432184e+02 
       3.690027859570e-01       5.873293943952e+02 
       3.722323692674e-01       5.776293633685e+02 
       3.754619529881e-01       5.683131271943e+02 
       3.786915371087e-01       5.592859951193e+02 
       3.819211216189e-01       5.504621080537e+02 
       3.851507065089e-01       5.417727715738e+02 
       3.883802917692e-01       5.331654036969e+02 
       3.916098773905e-01       5.246085715476e+02 
       3.948394633640e-01       5.160845734996e+02 
       3.980690496811e-01       5.075887506202e+02 
       4.012986363334e-01       4.991351715347e+02 
       4.045282233129e-01       4.907443141772e+02 
       4.077578106118e-01       4.824499172557e+02 
       4.109873982224e-01       4.742915833361e+02 
       4.142169861376e-01       4.663088183427e+02 
       4.174465743502e-01       4.585344223640e+02 
       4.206761628533e-01       4.509889668229e+02 
       4.239057516403e-01       4.436868052299e+02 
       4.271353407046e-01       4.366281942520e+02 
       4.303649300401e-01       4.298081101230e+02 
       4.335945196406e-01       4.232134903156e+02 
       4.368241095003e-01       4.168345577381e+02 
       4.400536996134e-01       4.106541854219e+02 
       4.432832899744e-01       4.046473659332e+02 
       4.465128805778e-01       3.987941143447e+02 
       4.497424714184e-01       3.930662647859e+02 
       4.529720624912e-01       3.874369882247e+02 
       4.562016537912e-01       3.818872014054e+02 
       4.594312453135e-01       3.764050536838e+02 
       4.626608370535e-01       3.709824433248e+02 
       4.658904290067e-01       3.656210146747e+02 
       4.691200211686e-01       3.603226755546e+02 
       4.723496135350e-01       3.550943472181e+02 
       4.755792061016e-01       3.499404740002e+02 
       4.788087988645e-01       3.448690385737e+02 
       4.820383918195e-01       3.398893207133e+02 
       4.852679849630e-01       3.350123615706e+02 
       4.884975782911e-01       3.302451270632e+02 
       4.917271718002e-01       3.255985107194e+02 
       4.949567654868e-01       3.210744575832e+02 
       4.981863593473e-01       3.166724356265e+02 
       5.014159533784e-01       3.123841128070e+02 
       5.046455475769e-01       3.082018045932e+02 
       5.078751419394e-01       3.041141701485e+02 
       5.111047364630e-01       3.001121165265e+02 
       5.143343311445e-01       2.961878581710e+02 
       5.175639259810e-01       2.923338715164e+02 
       5.207935209695e-01       2.885449378767e+02 
       5.240231161074e-01       2.848120757881e+02 
       5.272527113918e-01       2.811328270547e+02 
       5.304823068200e-01       2.775013453580e+02 
       5.337119023894e-01       2.739177944696e+02 
       5.369414980975e-01       2.703832731880e+02 
       5.401710939418e-01       2.669018938354e+02 
       5.434006899198e-01       2.634773896461e+02 
       5.466302860292e-01       2.601140388773e+02 
       5.498598822676e-01       2.568128548248e+02 
       5.530894786327e-01       2.535737007372e+02 
       5.563190751224e-01       2.503964575913e+02 
       5.595486717345e-01       2.472789331449e+02 
       5.627782684669e-01       2.442221793747e+02 
       5.660078653175e-01       2.412249225438e+02 
       5.692374622843e-01       2.382867760261e+02 
       5.724670593653e-01       2.354071526621e+02 
       5.756966565586e-01       2.325810624127e+02 
       5.789262538624e-01       2.298053724226e+02 
       5.821558512746e-01       2.270757526087e+02 
       5.853854487937e-01       2.243893526454e+02 
       5.886150464178e-01       2.217443063400e+02 
       5.918446441451e-01       2.191395664823e+02 
       5.950742419740e-01       2.165750252351e+02 
       5.983038399029e-01       2.140497003032e+02 
       6.015334379301e-01       2.115623652577e+02 
       6.047630360541e-01       2.091116220620e+02 
       6.079926342732e-01       2.066964853592e+02 
       6.112222325861e-01       2.043161174879e+02 
       6.144518309912e-01       2.019717123142e+02 
       6.176814294870e-01       1.996634859413e+02 
       6.209110280722e-01       1.973950779952e+02 
       6.241406267453e-01       1.951650921004e+02 
       6.273702255050e-01       1.929732464081e+02 
       6.305998243500e-01       1.908186049852e+02 
       6.338294232789e-01       1.886997401354e+02 
       6.370590222905e-01       1.866135363074e+02 
       6.402886213835e-01       1.845608907004e+02 
       6.435182205566e-01       1.825407362468e+02 
       6.467478198088e-01       1.805531821410e+02 
       6.499774191388e-01       1.785973373488e+02 
       6.532070185454e-01       1.766714294679e+02 
       6.564366180275e-01       1.747739907461e+02 
       6.596662175840e-01       1.729026671772e+02 
       6.628958172138e-01       1.710573167369e+02 
       6.661254169159e-01       1.692373127971e+02 
       6.693550166891e-01       1.674432351094e+02 
       6.725846165325e-01       1.656756368845e+02 
       6.758142164451e-01       1.639344328568e+02 
       6.790438164259e-01       1.622188144126e+02 
       6.822734164738e-01       1.605277057655e+02 
       6.855030165880e-01       1.588604364428e+02 
       6.887326167675e-01       1.572165164068e+02 
       6.919622170113e-01       1.555961932173e+02 
       6.951918173187e-01       1.539999779427e+02 
       6.984214176887e-01       1.524277226545e+02 
       7.016510181204e-01       1.508794138720e+02 
       7.048806186130e-01       1.493541299891e+02 
       7.081102191657e-01       1.478507420903e+02 
       7.113398197776e-01       1.463681972679e+02 
       7.145694204480e-01       1.449057665330e+02 
       7.177990211760e-01       1.434632171217e+02 
