# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653078818525e-10       7.722840874101e-15       2.355310918692e-13       6.745083799714e-17       8.395185227741e-11       8.771702519599e-12      -6.824764084661e-15 
   41       1.677890715665e-10       8.386802902699e-15       2.262628058387e-13       7.086877339590e-17       7.979545043136e-11       8.383316839662e-12      -6.325978393511e-15 
   42       1.702951266770e-10       9.086402896749e-15       2.156224083714e-13       7.437267488515e-17       7.590847606095e-11       8.013939979342e-12      -6.288774514319e-15 
   43       1.728281763959e-10       9.822279037649e-15       2.035535330320e-13       7.796258507721e-17       7.228059235582e-11       7.665020870308e-12      -6.568725103686e-15 
   44       1.753867697455e-10       1.059502577428e-14       1.899951187861e-13       8.163853943158e-17       6.888537865249e-11       7.337040172239e-12      -6.984408469355e-15 
   45       1.779677132894e-10       1.140518766041e-14       1.748877464157e-13       8.540056250696e-17       6.568976327156e-11       7.029672899235e-12      -7.357597869364e-15 
   46       1.805730615836e-10       1.225324374231e-14       1.581958792420e-13       8.924865570212e-17       6.268870191143e-11       6.742542853325e-12      -7.653546161935e-15 
   47       1.832046231668e-10       1.313961484220e-14       1.398915694978e-13       9.318280561841e-17       5.987868889591e-11       6.474543175905e-12      -7.878750669980e-15 
   48       1.858617382535e-10       1.406466484153e-14       1.199482630875e-13       9.720298701810e-17       5.724729800399e-11       6.223532665127e-12      -8.042273256008e-15 
   49       1.885410558002e-10       1.502869829760e-14       9.834077558377e-14       1.013091624802e-16       5.477251915551e-11       5.986261728033e-12      -8.155899692259e-15 
   50       1.912385735853e-10       1.603195470798e-14       7.504357996651e-14       1.055012819327e-16       5.242938497469e-11       5.759299834911e-12      -8.234708410204e-15 
   51       1.939569284791e-10       1.707459499822e-14       5.002517760479e-14       1.097792818977e-16       5.021350987055e-11       5.542286458830e-12      -8.298589010169e-15 
   52       1.966996996808e-10       1.815670724646e-14       2.325215785038e-14       1.141430854466e-16       4.812279379419e-11       5.335434570616e-12      -8.371411415038e-15 
   53       1.994692049821e-10       1.927830723410e-14      -5.309348243691e-15       1.185926019636e-16       4.615037813718e-11       5.138579981964e-12      -8.480826913032e-15 
   54       2.022663843281e-10       2.043933590462e-14      -3.569377137393e-14       1.231277267966e-16       4.428432547019e-11       4.951154427089e-12      -8.658446792762e-15 
   55       2.050913994945e-10       2.163969862771e-14      -6.793039822730e-14       1.277483490305e-16       4.251125996477e-11       4.772440653949e-12      -8.929719741947e-15 
   56       2.079458743202e-10       2.287940023576e-14      -1.020243573507e-13       1.324543778745e-16       4.082908137970e-11       4.602473573779e-12      -9.280210050199e-15 
   57       2.108310070443e-10       2.415843908229e-14      -1.379710909653e-13       1.372457222170e-16       3.923684853896e-11       4.441315826839e-12      -9.681255081181e-15 
   58       2.137468163383e-10       2.547676728312e-14      -1.757616301231e-13       1.421222830431e-16       3.773093303380e-11       4.288779802282e-12      -1.009931468363e-14 
   59       2.166920527675e-10       2.683428980401e-14      -2.153824718247e-13       1.470839534011e-16       3.630485327373e-11       4.144411707195e-12      -1.049574847955e-14 
   60       2.196641102528e-10       2.823086354822e-14      -2.568154561373e-13       1.521306183689e-16       3.494910853759e-11       4.007475635623e-12      -1.082659315235e-14 
   61       2.226602563930e-10       2.966622886033e-14      -3.000409463941e-13       1.572621702662e-16       3.365381643706e-11       3.877162763024e-12      -1.105268452558e-14 
   62       2.256818464391e-10       3.113978813529e-14      -3.450484819395e-13       1.624785583543e-16       3.241769252668e-11       3.753309840820e-12      -1.117318261024e-14 
   63       2.287309023837e-10       3.265077567059e-14      -3.918283093325e-13       1.677797502837e-16       3.124080095712e-11       3.635814439829e-12      -1.119921065448e-14 
   64       2.318088317983e-10       3.419831786877e-14      -4.403682725425e-13       1.731657182739e-16       3.012185344662e-11       3.524415442110e-12      -1.114427780893e-14 
   65       2.349163811417e-10       3.578143018065e-14      -4.906537948716e-13       1.786364395640e-16       2.905813228219e-11       3.418684253060e-12      -1.102438464727e-14 
   66       2.380535890682e-10       3.739901404854e-14      -5.426678608764e-13       1.841918968627e-16       2.804541332080e-11       3.318016013499e-12      -1.085812868681e-14 
   67       2.412197397353e-10       3.904985384948e-14      -5.963909982908e-13       1.898320787990e-16       2.707788899054e-11       3.221620811769e-12      -1.066680990898e-14 
   68       2.444139914169e-10       4.073273498617e-14      -6.518022206583e-13       1.955569886003e-16       2.614971900572e-11       3.128725634123e-12      -1.047033384664e-14 
   69       2.476375146221e-10       4.244683277867e-14      -7.088821174364e-13       2.013666711647e-16       2.526021950133e-11       3.039247377205e-12      -1.027372099671e-14 
   70       2.508917053269e-10       4.419139724314e-14      -7.676103604301e-13       2.072611923085e-16       2.440959186084e-11       2.953241045212e-12      -1.007804086144e-14 
   71       2.541775191085e-10       4.596563895714e-14      -8.279648048575e-13       2.132406316718e-16       2.359735329946e-11       2.870697740293e-12      -9.884370595209e-15 
   72       2.574954417248e-10       4.776872910124e-14      -8.899214958429e-13       2.193050833797e-16       2.282230149477e-11       2.791541264366e-12      -9.693793045909e-15 
   73       2.608454596938e-10       4.959979950067e-14      -9.534546749097e-13       2.254546567023e-16       2.208247921746e-11       2.715624720939e-12      -9.507394796440e-15 
   74       2.642270308726e-10       5.145794266692e-14      -1.018536786473e-12       2.316894767160e-16       2.137513896199e-11       2.642727116928e-12      -9.326264206134e-15 
   75       2.676390550371e-10       5.334221183938e-14      -1.085138484332e-12       2.380096849638e-16       2.069670757730e-11       2.572549964474e-12      -9.151489452199e-15 
   76       2.710804409343e-10       5.525156509948e-14      -1.153227999789e-12       2.444154331311e-16       2.004367310586e-11       2.504796818091e-12      -8.984146780193e-15 
   77       2.745519918547e-10       5.718468585568e-14      -1.222769098629e-12       2.509068612797e-16       1.941551018842e-11       2.439436142548e-12      -8.825267111284e-15 
   78       2.780548120494e-10       5.914012954655e-14      -1.293722761648e-12       2.574841168269e-16       1.881222634053e-11       2.376480429110e-12      -8.675859759070e-15 
   79       2.815897238491e-10       6.111637557688e-14      -1.366047783489e-12       2.641473616870e-16       1.823347087721e-11       2.315905842670e-12      -8.536919555948e-15 
   80       2.851572504742e-10       6.311182621245e-14      -1.439700766042e-12       2.708967727889e-16       1.767851845433e-11       2.257650524219e-12      -8.409424693790e-15 
   81       2.887575988455e-10       6.512480547482e-14      -1.514636111850e-12       2.777325425942e-16       1.714625260990e-11       2.201612893327e-12      -8.294334564608e-15 
   82       2.923906423949e-10       6.715355803610e-14      -1.590806017507e-12       2.846548796137e-16       1.663514930540e-11       2.147649950613e-12      -8.192587601231e-15 
   83       2.960559038755e-10       6.919624811377e-14      -1.668160467062e-12       2.916640089257e-16       1.614326046712e-11       2.095575580219e-12      -8.105099117977e-15 
   84       2.997528467319e-10       7.125102656900e-14      -1.746648074417e-12       2.987601689608e-16       1.566868739282e-11       2.045207385901e-12      -8.032351063289e-15 
   85       3.034818423627e-10       7.331624740327e-14      -1.826218785425e-12       3.059436001138e-16       1.521112719697e-11       1.996519838831e-12      -7.973087865245e-15 
   86       3.072433324393e-10       7.539028529283e-14      -1.906821613727e-12       3.132145551836e-16       1.477055374917e-11       1.949513524172e-12      -7.925399420617e-15 
   87       3.110375227762e-10       7.747147061670e-14      -1.988403839145e-12       3.205733033860e-16       1.434674249844e-11       1.904167995969e-12      -7.887101075114e-15 
   88       3.148643713275e-10       7.955808949769e-14      -2.070911015355e-12       3.280201308083e-16       1.393926224756e-11       1.860440895316e-12      -7.855724605440e-15 
   89       3.187235761834e-10       8.164838384351e-14      -2.154286977553e-12       3.355553408638e-16       1.354746692744e-11       1.818267068518e-12      -7.828509201337e-15 
   90       3.226145635665e-10       8.374055138781e-14      -2.238473850133e-12       3.431792547466e-16       1.317048737145e-11       1.777557685263e-12      -7.802392447640e-15 
   91       3.265364758282e-10       8.583274573124e-14      -2.323412054353e-12       3.508922118866e-16       1.280722308976e-11       1.738199356781e-12      -7.774001306322e-15 
   92       3.304881594447e-10       8.792307638253e-14      -2.409040316009e-12       3.586945704039e-16       1.245633404377e-11       1.700053254013e-12      -7.739643098545e-15 
   93       3.344685155686e-10       9.000963716684e-14      -2.495296400465e-12       3.665867149989e-16       1.211655859273e-11       1.662989209270e-12      -7.696147275788e-15 
   94       3.384776380636e-10       9.209059624901e-14      -2.582119427534e-12       3.745690809916e-16       1.178773990089e-11       1.626995803553e-12      -7.643555141429e-15 
   95       3.425158252333e-10       9.416411978871e-14      -2.669447920558e-12       3.826421347552e-16       1.146993941198e-11       1.592085282991e-12      -7.582819872512e-15 
