# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.358650151624e-02       2.391690027522e+04 
       1.371613595966e-02       2.395804087527e+04 
       1.384580678886e-02       2.399711626350e+04 
       1.397551412490e-02       2.403413265202e+04 
       1.410525811179e-02       2.406911912412e+04 
       1.423503891617e-02       2.410209578073e+04 
       1.436485672695e-02       2.413310319619e+04 
       1.449471175507e-02       2.416214435650e+04 
       1.462460423315e-02       2.418927779543e+04 
       1.475453441537e-02       2.421449501027e+04 
       1.488450257717e-02       2.423784189111e+04 
       1.501450901516e-02       2.425932460295e+04 
       1.514455404692e-02       2.427898697648e+04 
       1.527463801090e-02       2.429684231673e+04 
       1.540476126634e-02       2.431290742264e+04 
       1.553492419317e-02       2.432722262327e+04 
       1.566512719198e-02       2.433980437488e+04 
       1.579537068400e-02       2.435065491447e+04 
       1.592565511107e-02       2.435983149180e+04 
       1.605598093571e-02       2.436732040185e+04 
       1.618634864107e-02       2.437317898554e+04 
       1.631675873110e-02       2.437741015025e+04 
       1.644721173052e-02       2.438004065179e+04 
       1.657770818498e-02       2.438107819390e+04 
       1.670824866116e-02       2.438057462361e+04 
       1.683883374690e-02       2.437853855762e+04 
       1.696946405134e-02       2.437496817513e+04 
       1.710014020509e-02       2.436991534141e+04 
       1.723086286044e-02       2.436338125115e+04 
       1.736163269154e-02       2.435539987573e+04 
       1.749245039461e-02       2.434598717028e+04 
       1.762331668819e-02       2.433516599437e+04 
       1.775423231341e-02       2.432294676674e+04 
       1.788519803423e-02       2.430935843377e+04 
       1.801621463772e-02       2.429442030174e+04 
       1.814728293441e-02       2.427814175717e+04 
       1.827840375857e-02       2.426057305868e+04 
       1.840957796854e-02       2.424168439709e+04 
       1.854080644711e-02       2.422154307518e+04 
       1.867209010189e-02       2.420012837627e+04 
       1.880342986566e-02       2.417748997323e+04 
       1.893482669681e-02       2.415363837627e+04 
       1.906628157976e-02       2.412858314405e+04 
       1.919779552537e-02       2.410238343957e+04 
       1.932936957143e-02       2.407498353926e+04 
       1.946100478311e-02       2.404642066353e+04 
       1.959270225345e-02       2.401677388450e+04 
       1.972446310390e-02       2.398601081490e+04 
       1.985628848481e-02       2.395416335470e+04 
       1.998817957601e-02       2.392123515978e+04 
       2.012013758737e-02       2.388727389469e+04 
       2.025216375937e-02       2.385228186496e+04 
       2.038425936372e-02       2.381624391957e+04 
       2.051642570400e-02       2.377922272362e+04 
       2.064866411630e-02       2.374120762708e+04 
       2.078097596986e-02       2.370222534442e+04 
       2.091336266783e-02       2.366233763655e+04 
       2.104582564791e-02       2.362146373405e+04 
       2.117836638316e-02       2.357969821751e+04 
       2.131098638270e-02       2.353702685812e+04 
       2.144368719255e-02       2.349349137720e+04 
       2.157647039638e-02       2.344908814266e+04 
       2.170933761642e-02       2.340380360620e+04 
       2.184229051427e-02       2.335771347317e+04 
       2.197533079181e-02       2.331079646925e+04 
       2.210846019211e-02       2.326303912819e+04 
       2.224168050040e-02       2.321455307611e+04 
       2.237499354502e-02       2.316529873469e+04 
       2.250840119845e-02       2.311529400850e+04 
       2.264190537832e-02       2.306453456874e+04 
       2.277550804852e-02       2.301303588569e+04 
       2.290921122029e-02       2.296081894324e+04 
       2.304301695333e-02       2.290794230837e+04 
       2.317692735703e-02       2.285438204682e+04 
       2.331094459164e-02       2.280012687725e+04 
       2.344507086955e-02       2.274522884597e+04 
       2.357930845653e-02       2.268968882569e+04 
       2.371365967314e-02       2.263353482236e+04 
       2.384812689602e-02       2.257677974638e+04 
       2.398271255938e-02       2.251940537141e+04 
       2.411741915640e-02       2.246145224850e+04 
       2.425224924079e-02       2.240294978513e+04 
       2.438720542828e-02       2.234383413834e+04 
       2.452229039832e-02       2.228425901228e+04 
       2.465750689565e-02       2.222409258130e+04 
       2.479285773207e-02       2.216343808256e+04 
       2.492834578818e-02       2.210223131868e+04 
       2.506397401522e-02       2.204060636042e+04 
       2.519974543695e-02       2.197845809925e+04 
       2.533566315159e-02       2.191585013806e+04 
       2.547173033387e-02       2.185279397719e+04 
       2.560795023707e-02       2.178927611330e+04 
       2.574432619519e-02       2.172533940776e+04 
       2.588086162518e-02       2.166095801878e+04 
       2.601756002923e-02       2.159625180540e+04 
       2.615442499713e-02       2.153105222743e+04 
       2.629146020879e-02       2.146547648915e+04 
       2.642866943672e-02       2.139955853454e+04 
       2.656605654870e-02       2.133328323892e+04 
       2.670362551049e-02       2.126662729405e+04 
       2.684138038867e-02       2.119960896946e+04 
       2.697932535355e-02       2.113230385630e+04 
       2.711746468219e-02       2.106463894857e+04 
       2.725580276157e-02       2.099669577612e+04 
       2.739434409178e-02       2.092841125772e+04 
       2.753309328947e-02       2.085989217166e+04 
       2.767205509125e-02       2.079106028094e+04 
       2.781123435739e-02       2.072196333166e+04 
       2.795063607554e-02       2.065258126461e+04 
       2.809026536461e-02       2.058300568915e+04 
       2.823012747885e-02       2.051310726709e+04 
       2.837022781202e-02       2.044301150479e+04 
       2.851057190178e-02       2.037269044699e+04 
       2.865116543417e-02       2.030215759664e+04 
       2.879201424837e-02       2.023144163763e+04 
       2.893312434153e-02       2.016050686918e+04 
       2.907450187390e-02       2.008934579138e+04 
       2.921615317408e-02       2.001799055208e+04 
       2.935808474454e-02       1.994656432421e+04 
       2.950030326732e-02       1.987490316846e+04 
       2.964281560997e-02       1.980305352701e+04 
       2.978562883180e-02       1.973108999602e+04 
       2.992875019027e-02       1.965898787055e+04 
       3.007218714776e-02       1.958670425370e+04 
       3.021594737853e-02       1.951438024234e+04 
       3.036003877608e-02       1.944187869517e+04 
       3.050446946072e-02       1.936928382911e+04 
       3.064924778755e-02       1.929655684586e+04 
       3.079438235475e-02       1.922376006845e+04 
       3.093988201220e-02       1.915085598106e+04 
       3.108575587060e-02       1.907782065280e+04 
       3.123201331084e-02       1.900476192684e+04 
       3.137866399394e-02       1.893160152890e+04 
       3.152571787135e-02       1.885838453554e+04 
       3.167318519573e-02       1.878504312794e+04 
       3.182107653231e-02       1.871174752690e+04 
       3.196940277070e-02       1.863831559739e+04 
       3.211817513728e-02       1.856485828615e+04 
       3.226740520818e-02       1.849138460045e+04 
       3.241710492293e-02       1.841788530101e+04 
       3.256728659872e-02       1.834432753516e+04 
       3.271796294540e-02       1.827073927303e+04 
       3.286914708117e-02       1.819708567508e+04 
       3.302085254913e-02       1.812349972536e+04 
       3.317309333465e-02       1.804980479551e+04 
       3.332588388357e-02       1.797619259207e+04 
       3.347923912141e-02       1.790251390081e+04 
       3.363317447357e-02       1.782879778566e+04 
       3.378770588659e-02       1.775518818520e+04 
       3.394284985052e-02       1.768156209817e+04 
       3.409862342252e-02       1.760790390555e+04 
       3.425504425180e-02       1.753423542092e+04 
       3.441213060581e-02       1.746060627168e+04 
       3.456990139801e-02       1.738697314048e+04 
       3.472837621714e-02       1.731340665470e+04 
       3.488757535817e-02       1.723985803858e+04 
       3.504751985505e-02       1.716631544880e+04 
       3.520823151535e-02       1.709274762693e+04 
       3.536973295693e-02       1.701931744741e+04 
       3.553204764684e-02       1.694582894312e+04 
       3.569519994254e-02       1.687237743136e+04 
       3.585921513562e-02       1.679901372342e+04 
       3.602411949826e-02       1.672565584821e+04 
       3.618994033256e-02       1.665234048036e+04 
       3.635670602303e-02       1.657903500798e+04 
       3.652444609240e-02       1.650582696353e+04 
       3.669319126108e-02       1.643259592906e+04 
       3.686297351055e-02       1.635940779798e+04 
       3.703382615091e-02       1.628629959783e+04 
       3.720578389307e-02       1.621320803678e+04 
       3.737888292577e-02       1.614013495326e+04 
       3.755316099803e-02       1.606711846491e+04 
       3.772865750734e-02       1.599416390882e+04 
       3.790541359411e-02       1.592123109453e+04 
       3.808347224299e-02       1.584835636806e+04 
       3.826287839155e-02       1.577541804859e+04 
       3.844367904702e-02       1.570259247090e+04 
       3.862592341189e-02       1.562977932202e+04 
       3.880966301898e-02       1.555700048328e+04 
       3.899495187709e-02       1.548427766102e+04 
       3.918184662806e-02       1.541153225032e+04 
       3.937040671635e-02       1.533882729960e+04 
       3.956069457237e-02       1.526613730116e+04 
       3.975277581098e-02       1.519345254824e+04 
       3.994671944652e-02       1.512076837441e+04 
       4.014259812609e-02       1.504810765489e+04 
       4.034048838312e-02       1.497544215891e+04 
       4.054047091305e-02       1.490280310867e+04 
       4.074263087374e-02       1.483010280847e+04 
       4.094705821308e-02       1.475739575724e+04 
       4.115384802697e-02       1.468471216932e+04 
       4.136310095088e-02       1.461197363221e+04 
       4.157492358892e-02       1.453919654840e+04 
       4.178942898471e-02       1.446636524973e+04 
       4.200673713904e-02       1.439351541887e+04 
       4.222697557981e-02       1.432054091572e+04 
       4.245027999076e-02       1.424755552023e+04 
       4.267679490628e-02       1.417447971915e+04 
       4.290667448056e-02       1.410128660335e+04 
       4.314008334098e-02       1.402802728583e+04 
       4.337719753656e-02       1.395468076664e+04 
       4.361820559446e-02       1.388113859044e+04 
       4.386330969936e-02       1.380749257417e+04 
       4.411272701295e-02       1.373366375979e+04 
       4.436669115362e-02       1.365969963350e+04 
       4.462545385987e-02       1.358552952997e+04 
       4.488928686495e-02       1.351117795823e+04 
       4.515848401508e-02       1.343655051034e+04 
       4.543336366941e-02       1.336171007250e+04 
       4.571427142697e-02       1.328656540191e+04 
       4.600158323424e-02       1.321111723293e+04 
       4.629570893738e-02       1.313540597865e+04 
       4.659709635565e-02       1.305931141349e+04 
       4.690623596818e-02       1.298283370190e+04 
       4.722366632486e-02       1.290591931389e+04 
       4.754998031602e-02       1.282860986077e+04 
       4.788583246426e-02       1.275071609778e+04 
       4.823194743802e-02       1.267231748389e+04 
       4.858913003206e-02       1.259330078213e+04 
       4.895827691635e-02       1.251368525238e+04 
       4.934039052690e-02       1.243329319252e+04 
       4.973659556256e-02       1.235215207517e+04 
       5.014815866658e-02       1.227011417217e+04 
       5.057651201847e-02       1.218709049423e+04 
       5.102328174780e-02       1.210305373837e+04 
       5.149032231931e-02       1.201782373902e+04 
       5.197975834148e-02       1.193120139126e+04 
       5.249403563324e-02       1.184316300348e+04 
       5.303598386421e-02       1.175340833007e+04 
       5.360889367580e-02       1.166174667323e+04 
       5.421661189762e-02       1.156791192843e+04 
       5.486365927195e-02       1.147151129859e+04 
