# Matter power spectrum P(k) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349657741858e-02       4.023935942897e+00 
       1.362555754067e-02       4.031438612456e+00 
       1.375457397598e-02       4.038574743587e+00 
       1.388362683741e-02       4.045351246871e+00 
       1.401271626091e-02       4.051771387930e+00 
       1.414184240508e-02       4.057838412699e+00 
       1.427100545089e-02       4.063560185173e+00 
       1.440020560134e-02       4.068936921219e+00 
       1.452944308120e-02       4.073977502684e+00 
       1.465871813677e-02       4.078684984081e+00 
       1.478803103568e-02       4.083063781119e+00 
       1.491738206673e-02       4.087118805321e+00 
       1.504677153968e-02       4.090852279089e+00 
       1.517619978518e-02       4.094270274584e+00 
       1.530566715463e-02       4.097378425947e+00 
       1.543517402014e-02       4.100178162592e+00 
       1.556472077443e-02       4.102676530203e+00 
       1.569430783085e-02       4.104875441728e+00 
       1.582393562331e-02       4.106779896927e+00 
       1.595360460635e-02       4.108394422321e+00 
       1.608331525513e-02       4.109721318190e+00 
       1.621306806550e-02       4.110766768313e+00 
       1.634286355406e-02       4.111534489175e+00 
       1.647270225826e-02       4.112023875270e+00 
       1.660258473651e-02       4.112245490264e+00 
       1.673251156829e-02       4.112196542945e+00 
       1.686248335431e-02       4.111884457234e+00 
       1.699250071665e-02       4.111313977057e+00 
       1.712256429898e-02       4.110486640519e+00 
       1.725267476672e-02       4.109408060050e+00 
       1.738283280727e-02       4.108076463353e+00 
       1.751303913022e-02       4.106502545329e+00 
       1.764329446762e-02       4.104682950814e+00 
       1.777359957426e-02       4.102625078273e+00 
       1.790395522789e-02       4.100332648028e+00 
       1.803436222959e-02       4.097807554587e+00 
       1.816482140401e-02       4.095053072565e+00 
       1.829533359977e-02       4.092070283029e+00 
       1.842589968975e-02       4.088867563176e+00 
       1.855652057151e-02       4.085445446567e+00 
       1.868719716760e-02       4.081811978902e+00 
       1.881793042603e-02       4.077958440165e+00 
       1.894872132064e-02       4.073894346312e+00 
       1.907957085153e-02       4.069628485278e+00 
       1.921048004555e-02       4.065157551062e+00 
       1.934144995672e-02       4.060484770985e+00 
       1.947248166675e-02       4.055619802620e+00 
       1.960357628552e-02       4.050556839962e+00 
       1.973473495163e-02       4.045303557122e+00 
       1.986595883290e-02       4.039863852880e+00 
       1.999724912697e-02       4.034238752552e+00 
       2.012860706186e-02       4.028431920668e+00 
       2.026003389659e-02       4.022449211715e+00 
       2.039153092176e-02       4.016290918380e+00 
       2.052309946024e-02       4.009955453050e+00 
       2.065474086780e-02       4.003453457633e+00 
       2.078645653382e-02       3.996789683880e+00 
       2.091824788195e-02       3.989954134130e+00 
       2.105011637092e-02       3.982966763924e+00 
       2.118206349520e-02       3.975821570023e+00 
       2.131409078586e-02       3.968516221398e+00 
       2.144619981132e-02       3.961064894711e+00 
       2.157839217820e-02       3.953464528407e+00 
       2.171066953217e-02       3.945715293883e+00 
       2.184303355883e-02       3.937825116507e+00 
       2.197548598462e-02       3.929795788564e+00 
       2.210802857776e-02       3.921630346365e+00 
       2.224066314921e-02       3.913329032524e+00 
       2.237339155367e-02       3.904895180720e+00 
       2.250621569062e-02       3.896331630569e+00 
       2.263913750536e-02       3.887646658627e+00 
       2.277215899011e-02       3.878836973247e+00 
       2.290528218515e-02       3.869901048787e+00 
       2.303850917997e-02       3.860845374142e+00 
       2.317184211447e-02       3.851683982368e+00 
       2.330528318020e-02       3.842404461351e+00 
       2.343883462165e-02       3.833012613321e+00 
       2.357249873754e-02       3.823520994604e+00 
       2.370627788218e-02       3.813911686104e+00 
