# Matter power spectrum P(k) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349657741858e-02       4.066380595177e+00 
       1.362555754067e-02       4.074100726768e+00 
       1.375457397598e-02       4.081450526866e+00 
       1.388362683741e-02       4.088436646793e+00 
       1.401271626091e-02       4.095062045192e+00 
       1.414184240508e-02       4.101329653619e+00 
       1.427100545089e-02       4.107247072645e+00 
       1.440020560134e-02       4.112814178133e+00 
       1.452944308120e-02       4.118039613027e+00 
       1.465871813677e-02       4.122926143843e+00 
       1.478803103568e-02       4.127477926694e+00 
       1.491738206673e-02       4.131699642931e+00 
       1.504677153968e-02       4.135593277531e+00 
       1.517619978518e-02       4.139164731273e+00 
       1.530566715463e-02       4.142419490241e+00 
       1.543517402014e-02       4.145358819662e+00 
       1.556472077443e-02       4.147989694619e+00 
       1.569430783085e-02       4.150313928716e+00 
       1.582393562331e-02       4.152336494120e+00 
       1.595360460635e-02       4.154061907824e+00 
       1.608331525513e-02       4.155492475495e+00 
       1.621306806550e-02       4.156634458377e+00 
       1.634286355406e-02       4.157491650088e+00 
       1.647270225826e-02       4.158063507112e+00 
       1.660258473651e-02       4.158360801016e+00 
       1.673251156829e-02       4.158380828306e+00 
       1.686248335431e-02       4.158131241368e+00 
       1.699250071665e-02       4.157616995250e+00 
       1.712256429898e-02       4.156839826324e+00 
       1.725267476672e-02       4.155805606011e+00 
       1.738283280727e-02       4.154512750204e+00 
       1.751303913022e-02       4.152972294045e+00 
       1.764329446762e-02       4.151181069549e+00 
       1.777359957426e-02       4.149146790273e+00 
       1.790395522789e-02       4.146873452178e+00 
       1.803436222959e-02       4.144363201900e+00 
       1.816482140401e-02       4.141619581455e+00 
       1.829533359977e-02       4.138643906911e+00 
       1.842589968975e-02       4.135444866066e+00 
       1.855652057151e-02       4.132023204969e+00 
       1.868719716760e-02       4.128387253943e+00 
       1.881793042603e-02       4.124528373479e+00 
       1.894872132064e-02       4.120456353539e+00 
       1.907957085153e-02       4.116180230947e+00 
       1.921048004555e-02       4.111696793030e+00 
       1.934144995672e-02       4.107009418204e+00 
       1.947248166675e-02       4.102127967832e+00 
       1.960357628552e-02       4.097046645239e+00 
       1.973473495163e-02       4.091773271041e+00 
       1.986595883290e-02       4.086311821209e+00 
       1.999724912697e-02       4.080663356801e+00 
       2.012860706186e-02       4.074831582793e+00 
       2.026003389659e-02       4.068822404904e+00 
       2.039153092176e-02       4.062636087622e+00 
       2.052309946024e-02       4.056270976613e+00 
       2.065474086780e-02       4.049737773046e+00 
       2.078645653382e-02       4.043041211441e+00 
       2.091824788195e-02       4.036171092481e+00 
       2.105011637092e-02       4.029147507754e+00 
       2.118206349520e-02       4.021964281533e+00 
