# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       3.717641264082e-04       2.369217731532e+05       2.369112143439e+05       3.142258601128e+05       3.140270187761e+05       2.712531244901e+05       2.390581476399e+05 
       3.974310784175e-04       2.369107914186e+05       2.368987246553e+05       3.139733764040e+05       3.137463346944e+05       2.710626564048e+05       2.390395883728e+05 
       4.246990125550e-04       2.368983245576e+05       2.368845455219e+05       3.136868977294e+05       3.134278961442e+05       2.708465416780e+05       2.390185240138e+05 
       4.537255778781e-04       2.368841483220e+05       2.368684219196e+05       3.133613365740e+05       3.130660637991e+05       2.706009419613e+05       2.389945777871e+05 
       4.846797095312e-04       2.368680027797e+05       2.368500581405e+05       3.129908056590e+05       3.126543152449e+05       2.703214155043e+05       2.389673132712e+05 
       5.177409051938e-04       2.368495876250e+05       2.368291119226e+05       3.125685201151e+05       3.121851356894e+05       2.700028416488e+05       2.389362266787e+05 
       5.530978599375e-04       2.368285569261e+05       2.368051905383e+05       3.120866898766e+05       3.116499075918e+05       2.696393439728e+05       2.389007388005e+05 
       5.909463175373e-04       2.368045151469e+05       2.367778426100e+05       3.115364357166e+05       3.110388111766e+05       2.692242205366e+05       2.388601878540e+05 
       6.314860139264e-04       2.367770121109e+05       2.367465557106e+05       3.109077047571e+05       3.103407414243e+05       2.687498842370e+05       2.388138225538e+05 
       6.749166330592e-04       2.367455406893e+05       2.367107537255e+05       3.101892172683e+05       3.095432580031e+05       2.682078251175e+05       2.387607982875e+05 
       7.214327733846e-04       2.367095345565e+05       2.366697896960e+05       3.093684700410e+05       3.086325815438e+05       2.675886027742e+05       2.387001741601e+05 
       7.712180362127e-04       2.366683688944e+05       2.366229533443e+05       3.084317651083e+05       3.075936508911e+05       2.668818793086e+05       2.386309158800e+05 
